text,label
"Hey, I need to add my son to my policy, can you walk me through it?","addDriver"
"I was in an accident yesterday, what do I do now?","claimStart"
"How much is my premium gonna be this month?","billingQues"
"Yo, I'm calling about my claim from last week, any updates?","claimStatus"
"Can I get a payment plan that's monthly instead of quarterly?","billingQues"
"Thanks so much for your help, have a great day!","noIntent"
"I'm calling about my sister's policy, can you transfer me?","noIntent"
"What's the deal with my deductible, do I have to pay it all at once?","policyQues"
"Hi, I'd like to report a stolen vehicle, please","claimStart"
"Can you send me my insurance cards, I lost mine","policyQues"
"Hey, what's my balance, I wanna pay it off","billingQues"
"Just calling to confirm my appointment tomorrow","noIntent"
"My daughter's getting her license, how do I add her?","addDriver"
"Claim status, please?","claimStatus"
"Can I pay with a credit card?","billingQues"
"What's covered under comprehensive?","policyQues"
"My windshield got damaged, how do I file a claim?","claimStart"
"Payment arrangements?","billingQues"
"Can I cancel my policy effective immediately?","noIntent"
"I'd like to add roadside assistance, how much is it?","noIntent"
"My payment didn't go through, what's going on?","billingQues"
"Can I get a copy of my policy documents?","policyQues"
"I was rear-ended, what do I do?","claimStart"
"Update my payment info, please","billingQues"
"Policy limits, what does that even mean?","policyQues"
"Accident report, how do I file one?","claimStart"
"Change my address, I just moved","noIntent"
"Bill pay online, how do I do it?","billingQues"
"Get insurance quote for my new car","policyQues"
"Report hit and run, please help","claimStart"
"Payment plan, can I change it?","billingQues"
"Policy holder name change process?","noIntent"
"Add driver's license number, where do I do that?","addDriver"
"Check claim status, it's been weeks","claimStatus"
"Pay now or do a payment plan?","billingQues"
"Policy expiration, when is it?","policyQues"
"Last payment date, when was it?","billingQues"
"File windshields claim, how?","claimStart"
"Cancel auto pay, how do I do that?","billingQues"
"Policy details, can you break it down?","policyQues"
"Stolen car, report it","claimStart"
"Update driver info, license renewal","noIntent"
"Get billing statement, where?","billingQues"
"Add driver, my niece is on the policy now","addDriver"
"Check policy status, is it active?","policyQues"
"Payment plan change, monthly to quarterly","billingQues"
"Accident forgiveness, do I qualify?","policyQues"
"Need to add my niece to my policy, can you help?","addDriver"
"I'm calling about my car accident last night","claimStart"
"Can you explain my deductible?","policyQues"
"Status on my claim from last week?","claimStatus"
"Bill payment options?","billingQues"
"Thanks for your time, bye","noIntent"
"I'd like to remove my son from my policy","noIntent"
"What's my policy number?","policyQues"
"Process a payment for me","billingQues"
"My car was broken into, need to file a claim","claimStart"
"Can I get a quote for my new car?","policyQues"
"Payment plan options?","billingQues"
"Just calling to confirm my address","noIntent"
"I want to add my wife to my insurance","addDriver"
"Claim status update?","claimStatus"
"Bill due date?","billingQues"
"Policy cancellation process?","policyQues"
"Report a theft","claimStart"
"Add a vehicle to my policy","noIntent"
"Insurance card PDF?","policyQues"
"Last payment amount?","billingQues"
"File a claim for vandalism","claimStart"
"Change my payment method","billingQues"
"Policy effective date?","policyQues"
"Cancel my policy","noIntent"
"Add driver to existing policy","addDriver"
"Claim filed last month, any updates?","claimStatus"
"Pay now","billingQues"
"Policy documents?","policyQues"
"Stolen vehicle report","claimStart"
"Update payment info","billingQues"
"Policy limits?","policyQues"
"Accident report","claimStart"
"Driver's license update","noIntent"
"Payment history?","billingQues"
"Remove vehicle from policy","noIntent"
"Get insurance quote","policyQues"
"File a glass claim","claimStart"
"Bill pay","billingQues"
"Policy holder name change","noIntent"
"Add roadside assistance","noIntent"
"Check claim status","claimStatus"
"Payment options","billingQues"
"Car insurance quote","policyQues"
"Report hit and run","claimStart"
"Change address","noIntent"
"Add comprehensive coverage","noIntent"
"Policy expiration date?","policyQues"
"Last payment date?","billingQues"
"File a windshields claim","claimStart"
"Cancel auto pay","billingQues"
"Policy details?","policyQues"
"Stolen car report","claimStart"
"Update driver info","noIntent"
"Get billing statement","billingQues"
"Add driver license","addDriver"
"Check policy status","policyQues"
"Payment plan change","billingQues"
"Accident forgiveness?","policyQues"
"Claim number?","claimStatus"
"Pay bill online","billingQues"
"Policy documents update","policyQues"
"Report theft","claimStart"
"Change payment date","billingQues"
"Remove driver","noIntent"
"Get insurance ID card","policyQues"
"File a claim","claimStart"
"Billing address change","noIntent"
"Add vehicle","noIntent"
